# Weather station Paderborn / Lippstadt (airport), Germany, METAR=EDLP,selection from 23.01.2019 till 23.11.2019, all days
# Encoding: ANSI
# The data is provided by the website "Reliable Prognosis", rp5.ru
# If you use the data, please indicate the name of the website.
# For meteorological parameters see the address http://rp5.ru/metar.php?metar=EDLP&lang=en
#
"Local time in Paderborn / Lippstadt (airport)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"23.11.2019 08:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 07:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 07:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 06:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 06:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"7";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 05:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 05:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 04:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 04:20";"4.0";"731.3";"750.8";"87";"Wind blowing from the south-east";"8";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 03:50";"4.0";"731.3";"750.8";"87";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 03:20";"3.0";"732.1";"751.6";"93";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 02:50";"3.0";"732.1";"751.6";"87";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"23.11.2019 02:20";"3.0";"732.1";"751.6";"93";"Wind blowing from the south-east";"8";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"23.11.2019 01:50";"3.0";"732.7";"752.3";"87";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"23.11.2019 01:20";"3.0";"732.7";"752.3";"87";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"23.11.2019 00:50";"3.0";"732.7";"752.3";"87";"Wind blowing from the east-southeast";"9";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"23.11.2019 00:20";"3.0";"732.7";"752.3";"87";"Wind blowing from the south-east";"8";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"22.11.2019 23:50";"3.0";"733.5";"753.1";"87";"Wind blowing from the south-east";"8";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"22.11.2019 23:20";"3.0";"733.5";"753.1";"87";"Wind blowing from the south-east";"8";"";"";"";"Few clouds (10-30%) 240 m";"10.0 and more";"1.0";
"22.11.2019 22:50";"3.0";"733.5";"753.1";"93";"Wind blowing from the east-southeast";"6";"";"";"";"Scattered clouds (40-50%) 240 m";"10.0 and more";"2.0";
"22.11.2019 22:20";"3.0";"733.5";"753.1";"93";"Wind blowing from the east-southeast";"7";"12";"";"";"Scattered clouds (40-50%) 240 m";"10.0 and more";"2.0";
"22.11.2019 21:50";"4.0";"734.4";"753.9";"87";"Wind blowing from the south-east";"7";"";"";"";"Scattered clouds (40-50%) 240 m";"10.0 and more";"2.0";
"22.11.2019 21:20";"4.0";"734.4";"753.9";"87";"Wind blowing from the east-southeast";"6";"";"";"";"Scattered clouds (40-50%) 270 m";"10.0 and more";"2.0";
"22.11.2019 20:50";"4.0";"734.4";"753.9";"87";"Wind blowing from the east-southeast";"6";"";"";"";"Broken clouds (60-90%) 240 m";"8.0";"2.0";
"22.11.2019 20:20";"4.0";"734.4";"753.9";"87";"Wind blowing from the east-southeast";"6";"";"";"";"Broken clouds (60-90%) 240 m";"8.0";"2.0";
"22.11.2019 19:50";"4.0";"735.0";"754.6";"87";"Wind blowing from the east-southeast";"7";"";"";"";"Broken clouds (60-90%) 180 m";"7.0";"2.0";
"22.11.2019 19:20";"4.0";"735.0";"754.6";"93";"Wind blowing from the south-east";"6";"";"";"";"Broken clouds (60-90%) 180 m";"6.0";"3.0";
"22.11.2019 18:50";"4.0";"735.0";"754.6";"87";"Wind blowing from the east-southeast";"6";"";"";"";"Few clouds (10-30%) 180 m";"7.0";"2.0";
"22.11.2019 18:20";"4.0";"735.0";"754.6";"93";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 180 m";"7.0";"3.0";
"22.11.2019 17:50";"4.0";"735.0";"754.6";"93";"Wind blowing from the east-southeast";"5";"";"";"";"Few clouds (10-30%) 180 m";"7.0";"3.0";
"22.11.2019 17:20";"4.0";"735.0";"754.6";"87";"Wind blowing from the east-southeast";"6";"";"";"";"Few clouds (10-30%) 180 m";"7.0";"2.0";
"22.11.2019 16:50";"4.0";"735.0";"754.6";"87";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 180 m";"8.0";"2.0";
"22.11.2019 16:20";"4.0";"735.0";"754.6";"87";"Wind blowing from the south-east";"6";"";"";"";"Scattered clouds (40-50%) 180 m";"8.0";"2.0";
"22.11.2019 15:50";"5.0";"735.1";"754.6";"87";"Wind blowing from the east-southeast";"6";"";"";"";"No Significant Clouds";"9.0";"3.0";
"22.11.2019 15:20";"5.0";"735.1";"754.6";"87";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 14:50";"6.0";"735.2";"754.6";"81";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 14:20";"6.0";"735.2";"754.6";"81";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 13:50";"6.0";"735.2";"754.6";"81";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 13:20";"7.0";"735.3";"754.6";"81";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"22.11.2019 12:50";"7.0";"736.0";"755.4";"81";"Wind blowing from the east-southeast";"8";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"22.11.2019 12:20";"8.0";"736.1";"755.4";"76";"Wind blowing from the south-east";"7";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"22.11.2019 11:50";"7.0";"736.0";"755.4";"76";"Wind blowing from the east-southeast";"7";"12";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 11:20";"7.0";"736.0";"755.4";"81";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"22.11.2019 10:50";"7.0";"736.0";"755.4";"81";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"4.0";
"22.11.2019 10:20";"6.0";"736.7";"756.2";"81";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 09:50";"6.0";"736.7";"756.2";"81";"Wind blowing from the east-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 09:20";"6.0";"736.7";"756.2";"81";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 08:50";"6.0";"736.0";"755.4";"81";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 08:20";"5.0";"736.7";"756.2";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 07:50";"6.0";"736.0";"755.4";"81";"variable wind direction";"2";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 07:20";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 06:50";"6.0";"736.0";"755.4";"81";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 06:20";"6.0";"736.0";"755.4";"76";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 05:50";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 05:20";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 04:50";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"6";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 04:20";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 03:50";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 03:20";"4.0";"735.0";"754.6";"87";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 02:50";"5.0";"735.1";"754.6";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 02:20";"5.0";"735.1";"754.6";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 01:50";"5.0";"735.1";"754.6";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"22.11.2019 01:20";"6.0";"735.2";"754.6";"81";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 00:50";"6.0";"735.2";"754.6";"81";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"3.0";
"22.11.2019 00:20";"5.0";"735.1";"754.6";"87";"Wind blowing from the east";"2";"";"Light rain";"";"Scattered clouds (40-50%) 1350 m";"10.0 and more";"3.0";
"21.11.2019 23:50";"6.0";"736.0";"755.4";"76";"variable wind direction";"1";"";"Light rain";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 23:20";"6.0";"735.2";"754.6";"76";"Wind blowing from the south-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 22:50";"5.0";"735.1";"754.6";"81";"Wind blowing from the south-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 22:20";"4.0";"735.8";"755.4";"87";"Wind blowing from the south-east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 21:50";"4.0";"735.8";"755.4";"87";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 21:20";"4.0";"735.8";"755.4";"87";"Wind blowing from the east-northeast";"2";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 20:50";"5.0";"735.9";"755.4";"81";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 20:20";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 19:50";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 19:20";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 18:50";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-southeast";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 18:20";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 17:50";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 17:20";"5.0";"735.9";"755.4";"81";"Wind blowing from the south-east";"5";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 16:50";"5.0";"735.9";"755.4";"76";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"21.11.2019 16:20";"5.0";"735.9";"755.4";"81";"Wind blowing from the east-southeast";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 15:50";"6.0";"736.0";"755.4";"71";"Wind blowing from the south-east";"3";"";"";"";"No Significant Clouds";"10.0 and more";"1.0";
"21.11.2019 15:20";"6.0";"736.0";"755.4";"76";"Wind blowing from the south-east";"4";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 14:50";"6.0";"736.7";"756.2";"76";"Wind blowing from the east-southeast";"3";"";"";"";"No Significant Clouds";"10.0 and more";"2.0";
"21.11.2019 14:20";"6.0";"736.7";"756.2";"76";"Wind blowing from the south-east";"4";"";"";"";"Few clouds (10-30%) 480 m";"10.0 and more";"2.0";
"21.11.2019 13:50";"6.0";"736.7";"756.2";"81";"Wind blowing from the east-southeast";"4";"";"";"";"Few clouds (10-30%) 420 m, scattered clouds (40-50%) 540 m";"10.0 and more";"3.0";
"21.11.2019 13:20";"6.0";"736.7";"756.2";"81";"Wind blowing from the east-southeast";"3";"";"";"";"Scattered clouds (40-50%) 360 m, broken clouds (60-90%) 570 m";"10.0 and more";"3.0";
"21.11.2019 12:50";"5.0";"737.4";"756.9";"87";"Wind blowing from the east-southeast";"3";"";"";"";"Broken clouds (60-90%) 300 m, broken clouds (60-90%) 660 m";"10.0 and more";"3.0";
"21.11.2019 12:20";"5.0";"737.4";"756.9";"87";"Wind blowing from the south-east";"3";"";"";"";"Broken clouds (60-90%) 270 m";"9.0";"3.0";
"21.11.2019 11:50";"5.0";"737.4";"756.9";"87";"Wind blowing from the east-southeast";"3";"";"";"";"Broken clouds (60-90%) 240 m";"7.0";"3.0";
"21.11.2019 11:20";"5.0";"738.1";"757.7";"87";"Wind blowing from the east";"2";"";"";"";"Overcast (100%) 240 m";"7.0";"3.0";
"21.11.2019 10:50";"4.0";"738.1";"757.7";"93";"Wind blowing from the east-northeast";"2";"";"";"";"Overcast (100%) 210 m";"6.0";"3.0";
"21.11.2019 10:20";"4.0";"738.1";"757.7";"93";"Wind blowing from the east-northeast";"3";"";"Mist";"";"Overcast (100%) 180 m";"4.5";"3.0";
"21.11.2019 09:50";"3.0";"738.0";"757.7";"100";"Wind blowing from the north-east";"2";"";"Mist";"";"Overcast (100%) 180 m";"4.0";"3.0";
"21.11.2019 09:20";"3.0";"738.0";"757.7";"100";"Wind blowing from the north-east";"2";"";"Mist";"";"Overcast (100%) 210 m";"4.0";"3.0";
"21.11.2019 08:50";"3.0";"738.5";"758.2";"93";"Wind blowing from the north-east";"2";"";"Mist";"";"Overcast (100%) 180 m";"4.0";"2.0";
"21.11.2019 08:20";"3.0";"738.5";"758.2";"93";"Wind blowing from the north-east";"2";"";"Mist";"";"Overcast (100%) 180 m";"3.0";"2.0";
"21.11.2019 07:50";"3.0";"738.5";"758.2";"93";"Wind blowing from the north-northeast";"1";"";"Mist";"";"Overcast (100%) 180 m";"3.0";"2.0";
"21.11.2019 07:20";"3.0";"738.5";"758.2";"93";"Wind blowing from the north-east";"2";"";"";"";"Overcast (100%) 150 m";"5.0";"2.0";
"21.11.2019 06:50";"2.0";"738.4";"758.2";"100";"Wind blowing from the north-east";"2";"";"";"";"Overcast (100%) 150 m";"5.0";"2.0";
"21.11.2019 06:20";"2.0";"738.4";"758.2";"93";"Wind blowing from the north-east";"2";"";"";"";"Overcast (100%) 180 m";"6.0";"1.0";
"21.11.2019 05:50";"2.0";"738.4";"758.2";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 180 m";"8.0";"1.0";
"20.11.2019 23:50";"3.0";"740.7";"760.5";"87";"Wind blowing from the east";"2";"";"";"";"Overcast (100%) 1110 m";"10.0 and more";"1.0";
"20.11.2019 23:20";"3.0";"740.7";"760.5";"87";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 690 m, broken clouds (60-90%) 1170 m";"10.0 and more";"1.0";
"20.11.2019 22:50";"2.0";"740.7";"760.5";"93";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 690 m, overcast (100%) 1140 m";"10.0 and more";"1.0";
"20.11.2019 22:20";"2.0";"740.7";"760.5";"93";"Wind blowing from the east-southeast";"2";"";"";"";"Broken clouds (60-90%) 1170 m";"10.0 and more";"1.0";
"20.11.2019 21:50";"2.0";"740.7";"760.5";"87";"Wind blowing from the east";"2";"";"";"";"Broken clouds (60-90%) 1260 m";"10.0 and more";"0.0";
"20.11.2019 21:20";"2.0";"741.3";"761.2";"87";"Wind blowing from the east";"2";"";"";"";"Broken clouds (60-90%) 1260 m";"10.0 and more";"0.0";
"20.11.2019 20:50";"2.0";"741.3";"761.2";"93";"Wind blowing from the east-northeast";"2";"";"";"";"Overcast (100%) 1200 m";"10.0 and more";"1.0";
"20.11.2019 20:20";"2.0";"741.3";"761.2";"93";"variable wind direction";"1";"";"";"";"Scattered clouds (40-50%) 1080 m, broken clouds (60-90%) 1260 m";"10.0 and more";"1.0";
"20.11.2019 19:50";"3.0";"741.4";"761.2";"87";"Wind blowing from the east";"2";"";"";"";"Broken clouds (60-90%) 1080 m";"10.0 and more";"1.0";
"20.11.2019 19:20";"3.0";"741.4";"761.2";"87";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 600 m, overcast (100%) 1050 m";"10.0 and more";"1.0";
"20.11.2019 18:50";"3.0";"741.4";"761.2";"87";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 690 m, overcast (100%) 1050 m";"10.0 and more";"1.0";
"20.11.2019 18:20";"3.0";"741.4";"761.2";"87";"Wind blowing from the east-southeast";"2";"";"";"";"Few clouds (10-30%) 870 m, broken clouds (60-90%) 1080 m";"10.0 and more";"1.0";
"20.11.2019 17:50";"2.0";"741.3";"761.2";"87";"Wind blowing from the east-southeast";"2";"";"";"";"Broken clouds (60-90%) 1050 m";"10.0 and more";"0.0";
"20.11.2019 17:20";"3.0";"742.2";"762.0";"87";"Wind blowing from the east";"2";"";"";"";"Broken clouds (60-90%) 1080 m";"10.0 and more";"1.0";
"20.11.2019 16:50";"3.0";"742.2";"762.0";"81";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 1170 m";"10.0 and more";"0.0";
"20.11.2019 16:20";"3.0";"742.2";"762.0";"81";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"20.11.2019 15:50";"4.0";"742.3";"762.0";"75";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"20.11.2019 15:20";"5.0";"742.3";"762.0";"70";"Wind blowing from the east";"2";"";"";"";"No Significant Clouds";"10.0 and more";"0.0";
"20.11.2019 14:50";"5.0";"742.3";"762.0";"70";"Wind blowing from the east";"3";"";"";"";"Few clouds (10-30%) 720 m";"10.0 and more";"0.0";
"20.11.2019 14:20";"5.0";"742.3";"762.0";"76";"Wind blowing from the east-southeast";"3";"";"";"";"Few clouds (10-30%) 720 m";"10.0 and more";"1.0";
"20.11.2019 13:50";"5.0";"743.1";"762.8";"70";"Wind blowing from the south-east";"3";"";"";"";"Scattered clouds (40-50%) 600 m";"10.0 and more";"0.0";
"20.11.2019 13:20";"5.0";"743.1";"762.8";"76";"Wind blowing from the east";"3";"";"";"";"Few clouds (10-30%) 570 m, scattered clouds (40-50%) 690 m";"10.0 and more";"1.0";
"20.11.2019 12:50";"5.0";"743.1";"762.8";"76";"Wind blowing from the east-northeast";"4";"";"";"";"Few clouds (10-30%) 480 m, scattered clouds (40-50%) 540 m";"10.0 and more";"1.0";
"20.11.2019 12:20";"5.0";"743.1";"762.8";"81";"Wind blowing from the east";"4";"";"";"";"Few clouds (10-30%) 420 m";"10.0 and more";"2.0";
"20.11.2019 11:20";"4.0";"743.7";"763.5";"81";"Wind blowing from the east-northeast";"3";"";"";"";"Few clouds (10-30%) 270 m";"10.0 and more";"1.0";
"20.11.2019 10:50";"4.0";"743.7";"763.5";"87";"Wind blowing from the east";"2";"";"";"";"Few clouds (10-30%) 210 m, scattered clouds (40-50%) 300 m";"7.0";"2.0";
"20.11.2019 10:20";"3.0";"743.6";"763.5";"93";"Wind blowing from the east-northeast";"2";"";"Mist";"";"Scattered clouds (40-50%) 120 m, broken clouds (60-90%) 270 m";"3.7";"2.0";
"20.11.2019 09:50";"3.0";"743.6";"763.5";"93";"Wind blowing from the north-east";"2";"";"Mist";"";"Broken clouds (60-90%) 90 m, broken clouds (60-90%) 360 m, overcast (100%) 420 m";"2.6";"2.0";
"20.11.2019 09:20";"3.0";"743.6";"763.5";"93";"variable wind direction";"2";"";"Mist";"";"Broken clouds (60-90%) 120 m, overcast (100%) 390 m";"1.8";"2.0";
"20.11.2019 08:50";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"Mist";"";"Broken clouds (60-90%) 270 m, overcast (100%) 330 m";"2.7";"2.0";
"20.11.2019 08:20";"3.0";"743.6";"763.5";"93";"Wind blowing from the north";"2";"";"Mist";"";"Overcast (100%) 270 m";"5.0";"2.0";
"20.11.2019 07:50";"3.0";"743.6";"763.5";"93";"Calm, no wind";"0";"";"Mist";"";"Overcast (100%) 270 m";"4.8";"2.0";
"20.11.2019 07:20";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 240 m";"5.0";"2.0";
"20.11.2019 06:50";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 240 m";"6.0";"2.0";
"20.11.2019 06:20";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 240 m";"6.0";"2.0";
"20.11.2019 05:50";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 240 m";"8.0";"2.0";
"20.11.2019 05:20";"3.0";"743.6";"763.5";"93";"variable wind direction";"1";"";"";"";"Overcast (100%) 270 m";"9.0";"2.0";
"20.11.2019 00:20";"3.0";"744.4";"764.3";"93";"Wind blowing from the south-southwest";"3";"";"";"";"Scattered clouds (40-50%) 450 m, broken clouds (60-90%) 870 m";"9.0";"2.0";
"19.11.2019 23:50";"3.0";"744.4";"764.3";"93";"Wind blowing from the south";"3";"";"";"";"Broken clouds (60-90%) 810 m";"10.0 and more";"2.0";
"19.11.2019 22:50";"3.0";"744.4";"764.3";"93";"Wind blowing from the south";"2";"";"";"";"Broken clouds (60-90%) 420 m";"10.0 and more";"2.0";
"19.11.2019 22:20";"3.0";"744.4";"764.3";"93";"Wind blowing from the south";"1";"";"";"";"Broken clouds (60-90%) 390 m";"10.0 and more";"2.0";
"19.11.2019 21:50";"2.0";"743.6";"763.5";"93";"Wind blowing from the south-southwest";"3";"";"";"";"Scattered clouds (40-50%) 450 m";"10.0 and more";"1.0";
"19.11.2019 20:50";"4.0";"743.7";"763.5";"93";"Wind blowing from the west-southwest";"3";"";"";"";"Overcast (100%) 480 m";"10.0 and more";"3.0";
"19.11.2019 20:20";"4.0";"743.7";"763.5";"93";"Wind blowing from the west-southwest";"2";"";"";"";"Few clouds (10-30%) 330 m, broken clouds (60-90%) 450 m";"10.0 and more";"3.0";
"19.11.2019 19:50";"3.0";"743.6";"763.5";"100";"Wind blowing from the west-southwest";"2";"";"";"";"Broken clouds (60-90%) 300 m, broken clouds (60-90%) 480 m";"10.0 and more";"3.0";
"19.11.2019 19:20";"3.0";"743.6";"763.5";"100";"variable wind direction";"1";"";"";"";"Broken clouds (60-90%) 330 m, overcast (100%) 480 m";"10.0 and more";"3.0";
"19.11.2019 18:50";"3.0";"743.6";"763.5";"100";"Wind blowing from the south-west";"2";"";"";"";"Broken clouds (60-90%) 300 m, overcast (100%) 510 m";"10.0 and more";"3.0";
"19.11.2019 18:20";"3.0";"743.0";"762.8";"93";"Wind blowing from the south-west";"3";"";"Light rain";"";"Overcast (100%) 300 m";"10.0 and more";"2.0";
"19.11.2019 17:50";"3.0";"743.0";"762.8";"93";"Wind blowing from the south-west";"3";"";"";"";"Overcast (100%) 300 m";"10.0 and more";"2.0";
"19.11.2019 17:20";"3.0";"743.0";"762.8";"93";"Wind blowing from the south-southwest";"3";"";"Light rain";"";"Overcast (100%) 300 m";"8.0";"2.0";
